module,syn mode,clk,slack,TNS,Comb cell count,Seq cell count,Comb area, Seq area,Design Area,% area impr
module_Q,hier,clk_ncg,0.00,0.00,2514576,700027,728252.639007,1071040.386395,8734576.395375,1.12385667845
module_Q,flat,clk_ncg,0.00,0.00,2067685,699650,631070.316474,1070058.588775,8636412.275221,1.12385667845
module_K,hier,clk_ncg,-0.13,-275.48,767593,130616,222128.080265,201255.480486,3877641.863782,1.38857267748
module_K,flat,clk_ncg,0.00,-0.00,584673,130577,168483.374099,201056.311200,3823797.988331,1.38857267748
module_O,hier,clk_ncg,-0.23,-9917.96,1389192,241985,395835.423385,386198.884535,2923460.282493,0.575487619064
module_O,flat,clk_ncg,-0.07,-3189.08,1327872,241969,379530.759298,385679.396647,2906636.130519,0.575487619064
module_5,hier,clk_ncg,-0.13,-469.24,1525762,583624,418414.751106,931642.376676,2464535.096497,0.591792165173
module_5,flat,clk_ncg,-0.06,-121.22,1504437,583693,410202.154675,925270.047499,2449950.170888,0.591792165173
module_D,hier,clk_ncg,0.00,0.00,452674,141556,181490.078261,221635.651999,873794.720204,2.34820363474
module_D,flat,clk_ncg,0.00,0.00,359627,141525,161371.285392,221235.965488,853276.240824,2.34820363474
module_N,hier,clk_ncg,-0.30,-1936.23,2667357,602285,834214.843128,950562.419413,4191332.429831,3.66392039519
module_N,hier,meh_clk_ncg,0.00,0.00,,,,,,
module_N,hier,o_da0_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da0_tx_clk,0.19,0.00,,,,,,
module_N,hier,o_da1_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da1_tx_clk,0.19,0.00,,,,,,
module_N,hier,o_da2_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da2_tx_clk,0.31,0.00,,,,,,
module_N,hier,o_da3_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da3_tx_clk,0.31,0.00,,,,,,
module_N,hier,o_da4_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da4_tx_clk,0.25,0.00,,,,,,
module_N,hier,o_da5_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da5_tx_clk,0.34,0.00,,,,,,
module_N,hier,o_da6_rx_clk,0.36,0.00,,,,,,
module_N,hier,o_da6_tx_clk,0.25,0.00,,,,,,
module_N,hier,o_da7_rx_clk,0.41,0.00,,,,,,
module_N,hier,o_da7_tx_clk,0.25,0.00,,,,,,
module_N,flat,clk_ncg,-0.25,-232.94,2154707,602440,681104.780845,950105.397969,4037765.346104,3.66392039519
module_N,flat,meh_clk_ncg,0.00,0.00,,,,,,
module_N,flat,o_da0_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da0_tx_clk,0.28,0.00,,,,,,
module_N,flat,o_da1_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da1_tx_clk,0.31,0.00,,,,,,
module_N,flat,o_da2_rx_clk,0.38,0.00,,,,,,
module_N,flat,o_da2_tx_clk,0.01,0.00,,,,,,
module_N,flat,o_da3_rx_clk,0.36,0.00,,,,,,
module_N,flat,o_da3_tx_clk,0.01,0.00,,,,,,
module_N,flat,o_da4_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da4_tx_clk,0.21,0.00,,,,,,
module_N,flat,o_da5_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da5_tx_clk,0.21,0.00,,,,,,
module_N,flat,o_da6_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da6_tx_clk,0.21,0.00,,,,,,
module_N,flat,o_da7_rx_clk,0.37,0.00,,,,,,
module_N,flat,o_da7_tx_clk,0.21,0.00,,,,,,
module_I,hier,clk_ncg,0.00,0.00,718093,104896,235172.318924,151043.821939,10484927.910475,0.396264516731
module_I,flat,clk_ncg,0.00,0.00,582476,104897,193610.636084,151057.455865,10443379.861561,0.396264516731
module_R,hier,clk_ncg,-0.20,-4241.74,1894493,786147,660137.768743,1192996.937625,5258945.428635,2.77901360684
module_R,flat,clk_ncg,0.00,0.00,1266066,792941,504065.828124,1202922.069206,5112798.619597,2.77901360684
module_M,hier,clk_ncg,-0.33,-315.29,1594468,396736,500231.541186,633490.104696,2930078.591465,3.03026749646
module_M,hier,meh_clk_ncg,0.00,0.00,,,,,,
module_M,hier,o_da0_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da0_tx_clk,0.25,0.00,,,,,,
module_M,hier,o_da1_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da1_tx_clk,0.31,0.00,,,,,,
module_M,hier,o_da2_rx_clk,0.36,0.00,,,,,,
module_M,hier,o_da2_tx_clk,0.31,0.00,,,,,,
